tahun,bulan,minggu,kategori,jumlah_order,kategori_encoded
2016,9,37,health_beauty,3,43
2016,10,40,air_conditioning,8,1
2016,10,40,audio,1,4
2016,10,40,auto,7,5
2016,10,40,baby,11,6
2016,10,40,bed_bath_table,8,7
2016,10,40,computers_accessories,11,15
2016,10,40,consoles_games,5,16
2016,10,40,cool_stuff,7,20
2016,10,40,diapers_and_hygiene,1,23
2016,10,40,electronics,1,26
2016,10,40,fashio_female_clothing,1,27
2016,10,40,fashion_bags_accessories,6,28
2016,10,40,fashion_male_clothing,1,30
2016,10,40,fashion_shoes,1,31
2016,10,40,fixed_telephony,4,34
2016,10,40,furniture_decor,56,39
2016,10,40,garden_tools,5,42
2016,10,40,health_beauty,34,43
2016,10,40,housewares,11,49
2016,10,40,industry_commerce_and_business,4,50
2016,10,40,market_place,9,54
2016,10,40,office_furniture,5,57
2016,10,40,perfumery,28,59
2016,10,40,pet_shop,3,60
2016,10,40,sports_leisure,14,65
2016,10,40,telephony,6,68
2016,10,40,toys,22,69
2016,10,40,watches_gifts,4,70
2016,10,41,audio,1,4
2016,10,41,auto,1,5
2016,10,41,computers_accessories,1,15
2016,10,41,consoles_games,2,16
2016,10,41,fashion_bags_accessories,2,28
2016,10,41,fixed_telephony,1,34
2016,10,41,food,1,36
2016,10,41,furniture_decor,9,39
2016,10,41,health_beauty,6,43
2016,10,41,housewares,1,49
2016,10,41,market_place,2,54
2016,10,41,office_furniture,1,57
2016,10,41,perfumery,1,59
2016,10,41,pet_shop,1,60
2016,10,41,sports_leisure,3,65
2016,10,41,telephony,2,68
2016,10,41,toys,2,69
2016,12,51,fashion_bags_accessories,1,28
2017,1,1,auto,2,5
2017,1,1,baby,2,6
2017,1,1,bed_bath_table,1,7
2017,1,1,consoles_games,1,16
2017,1,1,cool_stuff,2,20
2017,1,1,fashion_bags_accessories,10,28
2017,1,1,fixed_telephony,2,34
2017,1,1,furniture_bedroom,8,38
2017,1,1,furniture_decor,1,39
2017,1,1,garden_tools,2,42
2017,1,1,health_beauty,2,43
2017,1,1,music,2,55
2017,1,1,pet_shop,5,60
2017,1,1,stationery,1,66
2017,1,1,toys,3,69
2017,1,1,watches_gifts,1,70
2017,1,2,baby,2,6
2017,1,2,bed_bath_table,4,7
2017,1,2,computers_accessories,4,15
2017,1,2,consoles_games,1,16
2017,1,2,cool_stuff,3,20
2017,1,2,fashion_bags_accessories,2,28
2017,1,2,fixed_telephony,4,34
2017,1,2,furniture_decor,31,39
2017,1,2,garden_tools,9,42
2017,1,2,health_beauty,3,43
2017,1,2,housewares,2,49
2017,1,2,pet_shop,1,60
2017,1,2,small_appliances,2,63
2017,1,2,sports_leisure,7,65
2017,1,2,telephony,3,68
2017,1,2,toys,2,69
2017,1,2,watches_gifts,3,70
2017,1,3,auto,11,5
2017,1,3,baby,12,6
2017,1,3,bed_bath_table,11,7
2017,1,3,computers_accessories,5,15
2017,1,3,consoles_games,6,16
2017,1,3,cool_stuff,6,20
2017,1,3,electronics,10,26
2017,1,3,fashion_bags_accessories,5,28
2017,1,3,fashion_male_clothing,1,30
2017,1,3,fashion_shoes,1,31
2017,1,3,fashion_underwear_beach,1,33
2017,1,3,fixed_telephony,10,34
2017,1,3,furniture_decor,68,39
2017,1,3,garden_tools,7,42
2017,1,3,health_beauty,18,43
2017,1,3,home_appliances_2,1,45
2017,1,3,housewares,4,49
2017,1,3,market_place,2,54
2017,1,3,perfumery,3,59
2017,1,3,pet_shop,3,60
2017,1,3,small_appliances,1,63
2017,1,3,sports_leisure,20,65
2017,1,3,stationery,10,66
2017,1,3,telephony,2,68
2017,1,3,toys,11,69
2017,1,3,watches_gifts,2,70
2017,1,4,agro_industry_and_commerce,2,0
2017,1,4,air_conditioning,4,1
2017,1,4,auto,12,5
2017,1,4,baby,16,6
2017,1,4,bed_bath_table,17,7
2017,1,4,books_general_interest,1,8
2017,1,4,computers_accessories,17,15
2017,1,4,consoles_games,10,16
2017,1,4,cool_stuff,21,20
2017,1,4,electronics,1,26
2017,1,4,fashio_female_clothing,2,27
2017,1,4,fashion_bags_accessories,17,28
2017,1,4,fixed_telephony,5,34
2017,1,4,food,2,36
2017,1,4,furniture_decor,56,39
2017,1,4,furniture_living_room,4,40
2017,1,4,garden_tools,19,42
2017,1,4,health_beauty,44,43
2017,1,4,home_appliances_2,2,45
2017,1,4,home_comfort_2,2,46
2017,1,4,housewares,19,49
2017,1,4,kitchen_dining_laundry_garden_furniture,1,51
2017,1,4,luggage_accessories,3,53
2017,1,4,market_place,1,54
2017,1,4,musical_instruments,1,56
2017,1,4,office_furniture,4,57
2017,1,4,perfumery,26,59
2017,1,4,pet_shop,5,60
2017,1,4,security_and_services,1,61
2017,1,4,small_appliances,1,63
2017,1,4,sports_leisure,39,65
2017,1,4,stationery,3,66
2017,1,4,telephony,9,68
2017,1,4,toys,22,69
2017,1,4,watches_gifts,3,70
2017,1,5,agro_industry_and_commerce,1,0
2017,1,5,auto,6,5
2017,1,5,baby,8,6
2017,1,5,bed_bath_table,13,7
2017,1,5,books_general_interest,1,8
2017,1,5,computers,1,14
2017,1,5,computers_accessories,5,15
2017,1,5,consoles_games,3,16
2017,1,5,cool_stuff,5,20
2017,1,5,dvds_blu_ray,2,25
2017,1,5,fashion_bags_accessories,1,28
2017,1,5,fashion_underwear_beach,1,33
2017,1,5,fixed_telephony,1,34
2017,1,5,furniture_decor,21,39
2017,1,5,furniture_living_room,6,40
2017,1,5,garden_tools,17,42
2017,1,5,health_beauty,15,43
2017,1,5,home_appliances_2,4,45
2017,1,5,housewares,3,49
2017,1,5,luggage_accessories,2,53
2017,1,5,market_place,2,54
2017,1,5,office_furniture,4,57
2017,1,5,perfumery,5,59
2017,1,5,small_appliances,2,63
2017,1,5,sports_leisure,8,65
2017,1,5,telephony,8,68
2017,1,5,toys,3,69
2017,1,5,watches_gifts,2,70
2017,2,5,agro_industry_and_commerce,1,0
2017,2,5,audio,1,4
2017,2,5,auto,10,5
2017,2,5,baby,4,6
2017,2,5,bed_bath_table,20,7
2017,2,5,books_general_interest,1,8
2017,2,5,computers_accessories,13,15
2017,2,5,consoles_games,6,16
2017,2,5,construction_tools_construction,1,17
2017,2,5,cool_stuff,17,20
2017,2,5,fashion_bags_accessories,9,28
2017,2,5,fashion_male_clothing,1,30
2017,2,5,fashion_underwear_beach,3,33
2017,2,5,fixed_telephony,3,34
2017,2,5,food,1,36
2017,2,5,furniture_decor,48,39
2017,2,5,furniture_living_room,5,40
2017,2,5,garden_tools,11,42
2017,2,5,health_beauty,47,43
2017,2,5,home_appliances_2,1,45
2017,2,5,home_confort,1,47
2017,2,5,housewares,2,49
2017,2,5,luggage_accessories,7,53
2017,2,5,market_place,1,54
2017,2,5,musical_instruments,2,56
2017,2,5,office_furniture,18,57
2017,2,5,perfumery,17,59
2017,2,5,pet_shop,8,60
2017,2,5,small_appliances,5,63
2017,2,5,sports_leisure,27,65
2017,2,5,stationery,5,66
2017,2,5,tablets_printing_image,2,67
2017,2,5,telephony,18,68
2017,2,5,toys,12,69
2017,2,5,watches_gifts,8,70
2017,2,6,agro_industry_and_commerce,2,0
2017,2,6,air_conditioning,1,1
2017,2,6,auto,33,5
2017,2,6,baby,10,6
2017,2,6,bed_bath_table,45,7
2017,2,6,books_general_interest,3,8
2017,2,6,computers_accessories,26,15
2017,2,6,consoles_games,3,16
2017,2,6,construction_tools_construction,1,17
2017,2,6,cool_stuff,18,20
2017,2,6,costruction_tools_garden,2,21
2017,2,6,dvds_blu_ray,1,25
2017,2,6,electronics,6,26
2017,2,6,fashio_female_clothing,1,27
2017,2,6,fashion_bags_accessories,14,28
2017,2,6,fashion_male_clothing,2,30
2017,2,6,fashion_shoes,1,31
2017,2,6,fashion_underwear_beach,4,33
2017,2,6,fixed_telephony,3,34
2017,2,6,food,2,36
2017,2,6,furniture_decor,58,39
2017,2,6,furniture_living_room,4,40
2017,2,6,garden_tools,12,42
2017,2,6,health_beauty,45,43
2017,2,6,home_appliances,1,44
2017,2,6,home_construction,1,48
2017,2,6,housewares,26,49
2017,2,6,luggage_accessories,8,53
2017,2,6,market_place,6,54
2017,2,6,musical_instruments,3,56
2017,2,6,office_furniture,29,57
2017,2,6,perfumery,14,59
2017,2,6,pet_shop,10,60
2017,2,6,small_appliances,13,63
2017,2,6,sports_leisure,58,65
2017,2,6,stationery,11,66
2017,2,6,tablets_printing_image,2,67
2017,2,6,telephony,32,68
2017,2,6,toys,21,69
2017,2,6,watches_gifts,7,70
2017,2,7,agro_industry_and_commerce,3,0
2017,2,7,air_conditioning,8,1
2017,2,7,audio,2,4
2017,2,7,auto,21,5
2017,2,7,baby,11,6
2017,2,7,bed_bath_table,47,7
2017,2,7,books_general_interest,1,8
2017,2,7,books_technical,1,10
2017,2,7,cine_photo,1,13
2017,2,7,computers_accessories,29,15
2017,2,7,consoles_games,2,16
2017,2,7,construction_tools_construction,1,17
2017,2,7,construction_tools_safety,1,19
2017,2,7,cool_stuff,17,20
2017,2,7,electronics,4,26
2017,2,7,fashio_female_clothing,1,27
2017,2,7,fashion_bags_accessories,8,28
2017,2,7,fashion_male_clothing,2,30
2017,2,7,fashion_shoes,2,31
2017,2,7,fashion_underwear_beach,1,33
2017,2,7,fixed_telephony,6,34
2017,2,7,food,3,36
2017,2,7,furniture_bedroom,1,38
2017,2,7,furniture_decor,63,39
2017,2,7,garden_tools,25,42
2017,2,7,health_beauty,24,43
2017,2,7,home_appliances,6,44
2017,2,7,home_confort,1,47
2017,2,7,home_construction,2,48
2017,2,7,housewares,18,49
2017,2,7,kitchen_dining_laundry_garden_furniture,1,51
2017,2,7,luggage_accessories,2,53
2017,2,7,market_place,5,54
2017,2,7,musical_instruments,2,56
2017,2,7,office_furniture,12,57
2017,2,7,perfumery,8,59
2017,2,7,pet_shop,8,60
2017,2,7,small_appliances,5,63
2017,2,7,sports_leisure,23,65
2017,2,7,stationery,2,66
2017,2,7,telephony,27,68
2017,2,7,toys,17,69
2017,2,7,watches_gifts,3,70
2017,2,8,agro_industry_and_commerce,1,0
2017,2,8,air_conditioning,2,1
2017,2,8,audio,1,4
2017,2,8,auto,18,5
2017,2,8,baby,5,6
2017,2,8,bed_bath_table,33,7
2017,2,8,books_general_interest,3,8
2017,2,8,computers,1,14
2017,2,8,computers_accessories,29,15
2017,2,8,consoles_games,7,16
2017,2,8,cool_stuff,12,20
2017,2,8,electronics,3,26
2017,2,8,fashio_female_clothing,1,27
2017,2,8,fashion_bags_accessories,4,28
2017,2,8,fashion_male_clothing,1,30
2017,2,8,fixed_telephony,4,34
2017,2,8,food,2,36
2017,2,8,furniture_decor,68,39
2017,2,8,furniture_living_room,11,40
2017,2,8,garden_tools,17,42
2017,2,8,health_beauty,36,43
2017,2,8,home_construction,1,48
2017,2,8,housewares,18,49
2017,2,8,industry_commerce_and_business,1,50
2017,2,8,luggage_accessories,3,53
2017,2,8,market_place,6,54
2017,2,8,musical_instruments,1,56
2017,2,8,perfumery,7,59
2017,2,8,pet_shop,7,60
2017,2,8,small_appliances,3,63
2017,2,8,sports_leisure,29,65
2017,2,8,stationery,1,66
2017,2,8,tablets_printing_image,4,67
2017,2,8,telephony,26,68
2017,2,8,toys,12,69
2017,2,8,watches_gifts,8,70
2017,2,9,audio,1,4
2017,2,9,auto,1,5
2017,2,9,baby,2,6
2017,2,9,bed_bath_table,12,7
2017,2,9,computers_accessories,3,15
2017,2,9,cool_stuff,5,20
2017,2,9,electronics,6,26
2017,2,9,fashion_bags_accessories,1,28
2017,2,9,fixed_telephony,6,34
2017,2,9,furniture_decor,20,39
2017,2,9,furniture_living_room,1,40
2017,2,9,garden_tools,4,42
2017,2,9,health_beauty,2,43
2017,2,9,home_confort,1,47
2017,2,9,housewares,5,49
2017,2,9,kitchen_dining_laundry_garden_furniture,1,51
2017,2,9,market_place,2,54
2017,2,9,musical_instruments,1,56
2017,2,9,office_furniture,3,57
2017,2,9,perfumery,3,59
2017,2,9,pet_shop,6,60
2017,2,9,small_appliances,2,63
2017,2,9,sports_leisure,12,65
2017,2,9,telephony,3,68
2017,2,9,toys,4,69
2017,2,9,watches_gifts,7,70
2017,3,9,air_conditioning,2,1
2017,3,9,art,1,2
2017,3,9,auto,9,5
2017,3,9,baby,7,6
2017,3,9,bed_bath_table,42,7
2017,3,9,books_general_interest,5,8
2017,3,9,computers_accessories,20,15
2017,3,9,consoles_games,10,16
2017,3,9,construction_tools_construction,1,17
2017,3,9,cool_stuff,18,20
2017,3,9,drinks,1,24
2017,3,9,electronics,5,26
2017,3,9,fashion_bags_accessories,7,28
2017,3,9,fashion_male_clothing,1,30
2017,3,9,fashion_shoes,2,31
2017,3,9,fashion_sport,1,32
2017,3,9,fixed_telephony,6,34
2017,3,9,food,1,36
2017,3,9,furniture_decor,83,39
2017,3,9,garden_tools,13,42
2017,3,9,health_beauty,28,43
2017,3,9,home_appliances,3,44
2017,3,9,home_appliances_2,1,45
2017,3,9,housewares,24,49
2017,3,9,industry_commerce_and_business,2,50
2017,3,9,luggage_accessories,4,53
2017,3,9,market_place,5,54
2017,3,9,musical_instruments,2,56
2017,3,9,office_furniture,1,57
2017,3,9,perfumery,9,59
2017,3,9,pet_shop,4,60
2017,3,9,small_appliances,6,63
2017,3,9,sports_leisure,32,65
2017,3,9,stationery,6,66
2017,3,9,tablets_printing_image,1,67
2017,3,9,telephony,18,68
2017,3,9,toys,19,69
2017,3,9,watches_gifts,9,70
2017,3,10,air_conditioning,5,1
2017,3,10,audio,8,4
2017,3,10,auto,20,5
2017,3,10,baby,11,6
2017,3,10,bed_bath_table,65,7
2017,3,10,books_general_interest,6,8
2017,3,10,books_technical,1,10
2017,3,10,computers_accessories,50,15
2017,3,10,consoles_games,8,16
2017,3,10,cool_stuff,27,20
2017,3,10,dvds_blu_ray,2,25
2017,3,10,electronics,6,26
2017,3,10,fashion_bags_accessories,12,28
2017,3,10,fashion_male_clothing,1,30
2017,3,10,fashion_shoes,3,31
2017,3,10,fashion_underwear_beach,2,33
2017,3,10,fixed_telephony,4,34
2017,3,10,food,5,36
2017,3,10,food_drink,1,37
2017,3,10,furniture_decor,69,39
2017,3,10,furniture_living_room,4,40
2017,3,10,garden_tools,29,42
2017,3,10,health_beauty,42,43
2017,3,10,home_appliances,1,44
2017,3,10,home_confort,3,47
2017,3,10,home_construction,6,48
2017,3,10,housewares,43,49
2017,3,10,kitchen_dining_laundry_garden_furniture,1,51
2017,3,10,luggage_accessories,9,53
2017,3,10,market_place,7,54
2017,3,10,music,1,55
2017,3,10,musical_instruments,2,56
2017,3,10,office_furniture,19,57
2017,3,10,perfumery,19,59
2017,3,10,pet_shop,2,60
2017,3,10,small_appliances,5,63
2017,3,10,sports_leisure,36,65
2017,3,10,stationery,15,66
2017,3,10,telephony,30,68
2017,3,10,toys,23,69
2017,3,10,watches_gifts,16,70
2017,3,11,agro_industry_and_commerce,1,0
2017,3,11,air_conditioning,5,1
2017,3,11,art,1,2
2017,3,11,audio,2,4
2017,3,11,auto,13,5
2017,3,11,baby,10,6
2017,3,11,bed_bath_table,57,7
2017,3,11,books_general_interest,8,8
2017,3,11,books_technical,1,10
2017,3,11,computers_accessories,28,15
2017,3,11,consoles_games,13,16
2017,3,11,cool_stuff,29,20
2017,3,11,drinks,2,24
2017,3,11,electronics,8,26
2017,3,11,fashio_female_clothing,1,27
2017,3,11,fashion_bags_accessories,16,28
2017,3,11,fashion_male_clothing,1,30
2017,3,11,fashion_shoes,2,31
2017,3,11,fashion_underwear_beach,3,33
2017,3,11,fixed_telephony,1,34
2017,3,11,food,8,36
2017,3,11,food_drink,2,37
2017,3,11,furniture_decor,69,39
2017,3,11,furniture_living_room,5,40
2017,3,11,garden_tools,50,42
2017,3,11,health_beauty,50,43
2017,3,11,home_appliances,4,44
2017,3,11,home_appliances_2,1,45
2017,3,11,home_comfort_2,1,46
2017,3,11,home_confort,1,47
2017,3,11,home_construction,2,48
2017,3,11,housewares,47,49
2017,3,11,luggage_accessories,8,53
2017,3,11,market_place,2,54
2017,3,11,musical_instruments,2,56
2017,3,11,office_furniture,30,57
2017,3,11,perfumery,33,59
2017,3,11,pet_shop,15,60
2017,3,11,small_appliances,8,63
2017,3,11,sports_leisure,37,65
2017,3,11,stationery,11,66
2017,3,11,tablets_printing_image,1,67
2017,3,11,telephony,22,68
2017,3,11,toys,23,69
2017,3,11,watches_gifts,29,70
2017,3,12,agro_industry_and_commerce,1,0
2017,3,12,air_conditioning,3,1
2017,3,12,art,2,2
2017,3,12,audio,1,4
2017,3,12,auto,19,5
2017,3,12,baby,8,6
